time,model_id,vec_type,acc_train,f1_train,accuracy,precision,recall,f1_score,params
2025-06-18 20:45:23,logreg_1000,tf-idf,0.9148640240108341,0.9148806613677671,0.9049919484702094,0.9052565912973034,0.9049919484702094,0.9050151711202379,max_iter=1000
2025-06-18 20:46:03,rndforest_1,tf-idf,0.9905201127337945,0.9905186983374775,0.8960620699751135,0.8961013808830425,0.8960620699751135,0.8960297003163755,n_estimators=100
2025-06-18 20:46:13,knn_5,tf-idf,0.8828739797225578,0.8827767316799638,0.8036890645586298,0.8105261202295988,0.8036890645586298,0.8019187152532549,k=5
2025-06-18 20:48:02,omykhailiv-bert-fake-news-recognition,default,0.5140002196112881,0.34900421061799236,0.5166154296589079,0.2668915021616581,0.5166154296589079,0.35195672804368455,defaults
2025-06-18 20:50:00,jy46604790-Fake-News-Bert-Detect,default,0.5140002196112881,0.34900421061799236,0.5166154296589079,0.2668915021616581,0.5166154296589079,0.35195672804368455,defaults
2025-06-19 09:13:52,logreg_glove,glove,0.8689286629332748,0.8689371012304002,0.8702971746450008,0.8702847259623536,0.8702971746450008,0.87028490086102,max_iter=1000
2025-06-19 09:14:00,logreg_1000,tf-idf,0.9148640240108341,0.9148806613677671,0.9049919484702094,0.9052565912973034,0.9049919484702094,0.9050151711202379,max_iter=1000
2025-06-19 09:16:40,rndforest_1,glove_100,1.0,1.0,0.8777631386327038,0.8778376913639659,0.8777631386327038,0.8777799227966778,n_estimators=100
2025-06-19 09:25:56,logreg_1000,tf-idf,0.9148640240108341,0.9148806613677671,0.9049919484702094,0.9052565912973034,0.9049919484702094,0.9050151711202379,max_iter=1000
2025-06-19 09:30:58,logreg_glove,glove_100,0.8689286629332748,0.8689371012304002,0.8702971746450008,0.8702847259623536,0.8702971746450008,0.87028490086102,max_iter=1000
2025-06-19 09:33:34,rndforest_1,tf-idf,0.9905201127337945,0.9905186983374775,0.8960620699751135,0.8961013808830425,0.8960620699751135,0.8960297003163755,n_estimators=100
2025-06-19 09:35:12,rndforest_1,glove_100,1.0,1.0,0.8777631386327038,0.8778376913639659,0.8777631386327038,0.8777799227966778,n_estimators=100
2025-06-19 09:35:30,rndforest_1,tf-idf,0.9905201127337945,0.9905186983374775,0.8960620699751135,0.8961013808830425,0.8960620699751135,0.8960297003163755,n_estimators=100
2025-06-19 09:06:57,logreg_1000,tf-idf,0.9173895538230665,0.9174055669562716,0.9082125603864735,0.9084524016427048,0.9082125603864735,0.9082343587649744,max_iter=1000
2025-06-19 09:07:05,logreg_glove,glove_100,0.8689286629332748,0.8689371012304002,0.8702971746450008,0.8702847259623536,0.8702971746450008,0.87028490086102,max_iter=1000
2025-06-19 09:07:45,rndforest_1,tf-idf,0.9907397240218148,0.9907384175956155,0.897965158834724,0.8979984984494463,0.897965158834724,0.8979355381807086,n_estimators=100
2025-06-19 09:07:50,rndforest_1,glove_100,1.0,1.0,0.8777631386327038,0.8778376913639659,0.8777631386327038,0.8777799227966778,n_estimators=100
2025-06-19 09:08:00,rndforest_1,glove_100,1.0,1.0,0.8777631386327038,0.8778376913639659,0.8777631386327038,0.8777799227966778,n_estimators=100
2025-06-19 09:08:21,knn_5,tf-idf,0.883935434281322,0.8838571480825264,0.8028107158541942,0.8093435879728317,0.8028107158541942,0.8010886125375731,k=5
